iter	Passed	Remaining
0	2	205
1	3	191
2	5	192
3	7	183
4	9	182
5	11	180
6	13	180
7	15	175
8	17	176
9	19	177
10	21	175
11	23	174
12	25	173
13	27	171
14	29	167
15	31	165
16	33	162
17	35	159
18	37	158
19	38	155
20	40	151
21	41	148
22	43	144
23	44	141
24	46	138
25	47	136
26	49	134
27	51	131
28	52	128
29	54	126
30	55	122
31	56	120
32	57	117
33	59	115
34	60	113
35	62	110
36	63	108
37	65	106
38	66	104
39	68	102
40	69	100
41	70	96
42	71	94
43	73	93
44	74	91
45	76	90
46	79	89
47	80	87
48	82	85
49	84	84
50	85	82
51	87	80
52	89	79
53	90	76
54	91	74
55	92	73
56	94	70
57	95	69
58	96	67
59	98	65
60	98	63
61	100	61
62	101	59
63	102	57
64	103	55
65	104	54
66	106	52
67	107	50
68	108	48
69	109	47
70	110	45
71	111	43
72	113	41
73	114	40
74	115	38
75	116	36
76	117	35
77	118	33
78	119	31
79	120	30
80	121	28
81	122	26
82	124	25
83	125	23
84	126	22
85	127	20
86	128	19
87	129	17
88	130	16
89	131	14
90	132	13
91	133	11
92	134	10
93	134	8
94	135	7
95	136	5
96	137	4
97	138	2
98	139	1
99	140	0
