iter	Passed	Remaining
0	129	129085
1	130	65164
2	131	43863
3	133	33220
4	134	26806
5	136	22612
6	138	19662
7	140	17400
8	141	15617
9	142	14151
10	144	12952
11	145	11958
12	146	11103
13	147	10408
14	149	9805
15	151	9320
16	153	8849
17	154	8420
18	155	8038
19	156	7677
20	157	7356
21	159	7071
22	160	6801
23	161	6555
24	162	6326
25	163	6141
26	165	5982
27	167	5817
28	168	5657
29	170	5499
30	171	5351
31	172	5209
32	173	5080
33	174	4961
34	175	4846
35	176	4734
36	178	4635
37	180	4567
38	182	4486
39	183	4407
40	184	4322
41	186	4246
42	187	4176
43	188	4102
44	189	4028
45	190	3954
46	192	3893
47	193	3847
48	195	3801
49	197	3748
50	198	3693
51	199	3638
52	200	3584
53	201	3537
54	203	3488
55	203	3437
56	204	3389
57	206	3346
58	207	3316
59	209	3285
60	211	3253
61	212	3217
62	213	3181
63	214	3143
64	215	3104
65	217	3071
66	218	3037
67	219	3002
68	220	2968
69	221	2940
70	223	2921
71	225	2902
72	226	2874
73	227	2846
74	228	2818
75	229	2789
76	230	2765
77	232	2743
78	233	2719
79	234	2696
80	236	2677
81	238	2665
82	238	2640
83	240	2622
84	241	2600
85	242	2578
86	243	2557
87	244	2537
88	245	2517
89	246	2496
90	247	2475
91	248	2455
92	249	2437
93	252	2437
94	254	2428
95	256	2415
96	258	2403
97	259	2387
98	260	2371
99	261	2354
100	262	2339
101	263	2323
102	264	2307
103	266	2293
104	267	2283
105	269	2273
106	271	2262
107	272	2247
108	273	2235
109	274	2221
110	275	2207
111	276	2194
112	277	2181
113	278	2167
114	279	2153
115	281	2141
116	283	2137
117	285	2133
118	286	2124
119	288	2112
120	289	2100
121	290	2087
122	291	2075
123	292	2063
124	293	2052
125	294	2041
126	295	2027
127	296	2018
128	297	2011
129	299	2003
130	300	1994
131	301	1984
132	303	1976
133	304	1964
134	305	1955
135	306	1945
136	307	1935
137	308	1925
138	309	1915
139	310	1905
140	311	1899
141	313	1892
142	314	1887
143	316	1880
144	317	1870
145	318	1861
146	319	1852
147	320	1843
148	321	1835
149	322	1826
150	323	1819
151	324	1811
152	325	1804
153	328	1804
154	330	1800
155	331	1792
156	332	1785
157	333	1777
158	334	1769
159	335	1762
160	336	1753
161	337	1746
162	338	1738
163	339	1731
164	340	1723
165	342	1719
166	344	1717
167	346	1713
168	347	1708
169	348	1701
170	349	1694
171	350	1688
172	351	1682
173	353	1675
174	354	1669
175	355	1663
176	357	1660
177	358	1657
178	360	1654
179	362	1650
180	363	1644
181	364	1637
182	365	1631
183	366	1625
184	367	1620
185	368	1614
186	370	1609
187	371	1606
188	374	1607
189	376	1605
190	377	1600
191	378	1594
192	379	1588
193	381	1582
194	382	1577
195	383	1571
196	384	1565
197	385	1560
198	386	1556
199	389	1556
200	390	1552
201	391	1547
202	392	1542
203	393	1536
204	394	1531
205	395	1526
206	396	1520
207	398	1515
208	398	1509
209	400	1505
210	401	1500
211	403	1501
212	405	1499
213	406	1494
214	408	1489
215	409	1485
216	410	1480
217	412	1477
218	413	1473
219	414	1468
220	415	1464
221	418	1467
222	420	1466
223	421	1461
224	423	1457
225	423	1451
226	425	1448
227	426	1443
228	427	1438
229	428	1433
230	429	1429
231	430	1424
232	433	1425
233	434	1422
234	436	1419
235	437	1415
236	438	1411
237	439	1406
238	440	1402
239	441	1398
240	442	1394
241	443	1389
242	444	1385
243	445	1380
244	446	1377
245	448	1374
246	450	1372
247	451	1369
248	453	1366
249	454	1362
250	455	1358
251	456	1354
252	457	1350
253	458	1346
254	459	1342
255	460	1338
256	462	1336
257	464	1335
258	465	1332
259	466	1329
260	468	1325
261	469	1321
262	470	1317
263	471	1313
264	472	1309
265	473	1305
266	474	1301
267	475	1297
268	476	1295
269	478	1293
270	480	1291
271	481	1288
272	482	1285
273	484	1283
274	485	1279
275	486	1275
276	487	1272
277	488	1268
278	489	1265
279	490	1262
280	493	1262
281	494	1258
282	495	1255
283	496	1251
284	497	1248
285	499	1245
286	500	1243
287	501	1239
288	502	1236
289	503	1233
290	504	1230
291	506	1227
292	509	1228
293	510	1226
294	511	1223
295	513	1220
296	514	1217
297	515	1215
298	517	1212
299	518	1209
300	519	1207
301	521	1205
302	523	1203
303	524	1201
304	525	1198
305	526	1194
306	528	1191
307	529	1188
308	530	1185
309	531	1182
310	532	1179
311	533	1176
312	534	1173
313	535	1170
314	538	1171
315	540	1169
316	541	1166
317	542	1163
318	543	1160
319	545	1158
320	546	1156
321	548	1154
322	549	1151
323	550	1148
324	551	1145
325	554	1146
326	555	1143
327	556	1140
328	557	1137
329	558	1134
330	559	1131
331	560	1128
332	561	1124
333	562	1122
334	563	1119
335	564	1116
336	566	1113
337	568	1114
338	570	1111
339	571	1109
340	572	1106
341	573	1103
342	574	1100
343	575	1097
344	576	1094
345	578	1092
346	579	1090
347	581	1090
348	600	1119
349	602	1118
350	604	1117
351	607	1117
352	608	1115
353	610	1113
354	611	1111
355	613	1109
356	615	1108
357	616	1105
358	617	1102
359	618	1099
360	619	1096
361	620	1093
362	621	1090
363	623	1088
364	624	1086
365	625	1083
366	626	1080
367	627	1078
368	629	1076
369	630	1074
370	632	1071
371	633	1068
372	634	1065
373	635	1062
374	636	1060
375	637	1057
376	638	1054
377	639	1052
378	640	1049
379	641	1046
380	642	1043
381	645	1044
382	646	1041
383	647	1039
384	648	1036
385	649	1033
386	650	1030
387	651	1027
388	652	1025
389	653	1022
390	654	1020
391	655	1017
392	657	1014
393	658	1012
